,Quarter ended,,
,"Dec 31, 2023","Sep 30, 2023","Dec 31, 2022"
Number of Clients,,,
Active,"1,872","1,884","1,850"
Added during the period (gross),88,1 00,1 34
Number of Million dollar clients*,,,
1 Million dollar +,9 44,9 51,9 12
10 Million dollar +,3 08,3 12,2 94
50 Million dollar +,82,80,79
100 Million dollar +,40,39,38
Client contribution to revenues,,,
Top 5 clients,13.4%,13.3%,13.1%
Top 10 clients,20.0%,19.9%,20.5%
Top 25 clients,33.7%,34.1%,35.3%
Days Sales Outstanding*,72,67,68
